Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
Gachibowli,Villa,2,537,183.98,0.34,2003,Unfurnished,21,20,22,10,2,Low,Yes,Yes,"Garden, Pool",South,Broker,Under_Construction
Hitech City,Independent House,2,867,246.85,0.28,2011,Semi-furnished,16,17,14,1,6,Medium,Yes,Yes,"Garden, Playground",South,Owner,Ready_to_Move
Kokapet,Villa,4,4137,167.38,0.04,2011,Furnished,13,24,14,6,10,High,No,No,"Playground, Clubhouse, Garden",North,Broker,Ready_to_Move
Nanakramguda,Villa,2,599,27.75,0.05,2004,Semi-furnished,16,18,21,9,9,Medium,No,No,"Pool, Playground, Garden, Gym, Clubhouse",South,Builder,Ready_to_Move
Jubilee Hills,Villa,2,1453,207.47,0.14,2002,Unfurnished,16,10,23,6,4,Low,Yes,No,Gym,East,Broker,Under_Construction
Somajiguda,Apartment,3,3504,332.64,0.09,2014,Furnished,12,8,11,1,8,High,No,Yes,"Clubhouse, Gym, Garden, Playground",East,Owner,Under_Construction
Jubilee Hills,Villa,2,1389,260.16,0.19,2001,Unfurnished,29,25,24,1,1,Medium,No,No,Garden,East,Broker,Ready_to_Move
Film Nagar,Apartment,3,2506,42.52,0.02,2020,Semi-furnished,13,17,5,2,5,Medium,Yes,Yes,"Pool, Gym, Garden",East,Owner,Under_Construction
Begumpet,Villa,4,1637,213.59,0.13,2005,Unfurnished,20,26,20,3,6,Low,No,No,"Gym, Pool, Garden, Playground",South,Owner,Ready_to_Move
Narsingi,Independent House,2,4084,66.2,0.02,2007,Semi-furnished,21,30,18,4,8,Medium,No,No,"Garden, Pool, Clubhouse",East,Owner,Ready_to_Move
Gachibowli,Villa,2,3026,101.63,0.03,2011,Furnished,14,7,14,8,10,Low,Yes,Yes,"Garden, Gym, Clubhouse",South,Builder,Under_Construction
Banjara Hills,Apartment,4,1483,106.0,0.07,2001,Unfurnished,9,11,24,5,1,High,No,No,"Garden, Clubhouse, Gym, Pool, Playground",East,Builder,Under_Construction
Jubilee Hills,Apartment,4,578,115.62,0.2,2017,Unfurnished,4,3,8,2,8,High,No,Yes,"Clubhouse, Playground",South,Builder,Ready_to_Move
Film Nagar,Villa,5,1096,200.64,0.18,1998,Furnished,22,22,27,3,7,High,No,Yes,"Clubhouse, Pool, Playground, Garden, Gym",West,Broker,Under_Construction
Gachibowli,Independent House,1,4361,280.51,0.06,2003,Semi-furnished,24,19,22,3,4,High,No,Yes,"Playground, Clubhouse, Gym, Pool",North,Owner,Under_Construction
Narsingi,Apartment,4,1933,208.38,0.11,1994,Semi-furnished,12,24,31,5,6,High,No,No,"Playground, Garden, Pool",East,Broker,Ready_to_Move
Jubilee Hills,Villa,4,4857,54.02,0.01,1993,Semi-furnished,30,9,32,5,5,Low,Yes,Yes,"Pool, Playground, Garden, Clubhouse, Gym",South,Broker,Ready_to_Move
Film Nagar,Villa,1,3776,176.54,0.05,2011,Unfurnished,28,7,14,7,4,Medium,Yes,No,"Gym, Clubhouse, Playground, Pool",West,Owner,Under_Construction
Kokapet,Independent House,4,2693,52.31,0.02,2009,Semi-furnished,7,16,16,2,10,Medium,No,Yes,Pool,East,Owner,Ready_to_Move
Hitech City,Apartment,4,4703,254.75,0.05,1998,Furnished,3,6,27,4,4,High,No,No,"Garden, Clubhouse, Pool, Playground",South,Builder,Under_Construction
Banjara Hills,Independent House,4,3657,477.92,0.13,2013,Furnished,29,11,12,6,5,Medium,No,Yes,"Playground, Gym, Garden, Pool",South,Owner,Under_Construction
Jubilee Hills,Independent House,3,4414,105.3,0.02,2001,Furnished,14,19,24,1,10,Medium,Yes,Yes,"Garden, Pool, Gym, Clubhouse, Playground",East,Builder,Under_Construction
Khanapur,Independent House,2,1503,475.6,0.32,1995,Unfurnished,23,28,30,2,1,Medium,No,Yes,Pool,South,Builder,Under_Construction
Jubilee Hills,Apartment,4,3704,410.24,0.11,2013,Semi-furnished,9,5,12,4,6,High,Yes,No,"Gym, Clubhouse, Garden, Playground, Pool",North,Owner,Ready_to_Move
Kavuri Hills,Apartment,5,2882,281.89,0.1,2008,Semi-furnished,25,9,17,6,4,Low,No,Yes,"Gym, Clubhouse",West,Broker,Under_Construction
Raidurg,Independent House,3,1220,186.68,0.15,2009,Furnished,17,9,16,4,7,Low,Yes,Yes,"Garden, Gym, Playground, Pool, Clubhouse",South,Owner,Under_Construction
Banjara Hills,Villa,2,903,58.68,0.06,2007,Semi-furnished,12,15,18,4,5,Low,No,No,"Gym, Garden, Pool, Clubhouse",South,Builder,Ready_to_Move
Somajiguda,Independent House,4,1158,262.95,0.23,2002,Furnished,23,2,23,5,9,Low,No,No,"Gym, Playground, Garden, Clubhouse",North,Builder,Ready_to_Move
Jubilee Hills,Villa,4,4607,440.53,0.1,2017,Unfurnished,5,26,8,9,3,Medium,Yes,Yes,"Playground, Clubhouse, Gym, Garden",East,Builder,Ready_to_Move
Gachibowli,Independent House,3,2366,108.65,0.05,2002,Unfurnished,27,11,23,3,1,Medium,No,Yes,"Pool, Garden",South,Owner,Ready_to_Move
Kavuri Hills,Independent House,5,4295,178.26,0.04,1994,Furnished,16,8,31,4,7,Low,Yes,Yes,"Garden, Clubhouse, Pool, Gym, Playground",West,Builder,Ready_to_Move
Jubilee Hills,Independent House,2,521,414.82,0.8,1994,Semi-furnished,30,8,31,9,1,Medium,Yes,Yes,"Pool, Clubhouse, Playground, Garden, Gym",East,Owner,Ready_to_Move
Khanapur,Villa,3,3357,478.85,0.14,2020,Semi-furnished,1,28,5,7,4,Medium,Yes,No,"Pool, Garden",East,Broker,Under_Construction
Kokapet,Independent House,4,2375,287.58,0.12,2016,Unfurnished,13,25,9,6,2,Low,Yes,Yes,Gym,North,Builder,Under_Construction
Kokapet,Apartment,3,1275,388.58,0.3,2009,Unfurnished,22,14,16,8,5,Low,Yes,Yes,"Gym, Garden, Clubhouse, Playground",South,Broker,Ready_to_Move
Kavuri Hills,Villa,2,794,211.08,0.27,1990,Semi-furnished,13,16,35,9,4,High,Yes,Yes,"Clubhouse, Garden, Gym, Pool",South,Owner,Ready_to_Move
Somajiguda,Apartment,4,4924,239.78,0.05,1996,Furnished,30,18,29,1,1,Medium,No,Yes,"Clubhouse, Gym, Garden",West,Owner,Under_Construction
Film Nagar,Villa,5,4335,389.17,0.09,1994,Furnished,21,8,31,4,6,High,Yes,No,"Clubhouse, Pool",North,Broker,Ready_to_Move
Begumpet,Independent House,5,3640,468.15,0.13,2019,Furnished,27,7,6,7,7,Medium,Yes,Yes,"Garden, Pool",East,Owner,Ready_to_Move
Film Nagar,Villa,1,2502,132.87,0.05,2021,Unfurnished,25,8,4,10,7,High,Yes,Yes,"Playground, Gym, Garden, Clubhouse, Pool",West,Owner,Under_Construction
Begumpet,Apartment,1,2466,374.36,0.15,2000,Unfurnished,15,24,25,2,4,Low,No,Yes,"Gym, Garden, Playground",North,Builder,Ready_to_Move
Financial District,Villa,5,521,277.25,0.53,1997,Unfurnished,13,22,28,7,10,Low,Yes,Yes,"Pool, Gym, Clubhouse, Garden, Playground",East,Owner,Under_Construction
Gachibowli,Independent House,5,3066,341.51,0.11,2001,Furnished,11,15,24,8,7,High,Yes,No,"Clubhouse, Gym, Pool, Garden",West,Builder,Under_Construction
Gachibowli,Apartment,5,3762,91.64,0.02,1997,Semi-furnished,27,9,28,4,8,Medium,Yes,No,"Pool, Gym, Clubhouse",South,Owner,Under_Construction
Jubilee Hills,Villa,1,2862,37.09,0.01,2003,Semi-furnished,29,25,22,4,4,Low,No,Yes,"Pool, Playground, Gym, Clubhouse",South,Owner,Under_Construction
Jubilee Hills,Villa,1,4360,320.79,0.07,2020,Furnished,10,15,5,5,2,High,No,No,"Garden, Playground, Gym, Clubhouse, Pool",East,Owner,Ready_to_Move
Kokapet,Apartment,3,4071,29.18,0.01,1991,Semi-furnished,21,22,34,4,3,Low,Yes,Yes,Clubhouse,South,Broker,Ready_to_Move
Madhapur,Independent House,5,3574,105.56,0.03,2009,Unfurnished,30,17,16,4,3,High,No,No,"Gym, Playground, Pool, Clubhouse",South,Broker,Ready_to_Move
Madhapur,Apartment,5,1788,81.3,0.05,1992,Unfurnished,29,1,33,10,6,Medium,Yes,No,"Garden, Playground",East,Owner,Ready_to_Move
Hitech City,Apartment,1,1220,128.59,0.11,2022,Unfurnished,26,25,3,7,10,Medium,Yes,No,"Gym, Playground",North,Broker,Under_Construction
Banjara Hills,Apartment,4,1233,373.03,0.3,2007,Furnished,18,17,18,1,7,Low,Yes,Yes,"Playground, Garden, Pool",South,Builder,Under_Construction
Madhapur,Independent House,2,2333,483.25,0.21,1994,Furnished,9,1,31,1,7,Low,No,Yes,"Playground, Garden, Pool, Clubhouse, Gym",South,Builder,Under_Construction
Gachibowli,Villa,2,3094,276.23,0.09,1994,Semi-furnished,9,26,31,8,4,Medium,Yes,No,"Gym, Garden",North,Builder,Ready_to_Move
Jubilee Hills,Villa,5,815,450.95,0.55,1999,Unfurnished,6,30,26,7,2,Low,Yes,Yes,"Playground, Gym, Clubhouse, Garden",East,Owner,Under_Construction
Somajiguda,Apartment,4,778,424.78,0.55,2018,Semi-furnished,3,10,7,4,8,High,No,Yes,Garden,West,Builder,Ready_to_Move
Kavuri Hills,Independent House,1,4172,110.95,0.03,2015,Semi-furnished,23,30,10,2,8,Medium,No,Yes,"Gym, Playground",North,Broker,Under_Construction
Jubilee Hills,Independent House,5,867,200.94,0.23,1990,Unfurnished,11,27,35,4,7,Low,No,No,"Clubhouse, Gym, Pool",East,Owner,Ready_to_Move
Raidurg,Independent House,1,3295,97.4,0.03,2018,Furnished,17,8,7,6,5,Medium,Yes,Yes,"Garden, Playground, Gym",North,Owner,Under_Construction
Kavuri Hills,Apartment,2,4871,303.13,0.06,2011,Furnished,4,24,14,1,7,High,No,Yes,"Clubhouse, Gym",East,Owner,Ready_to_Move
Madhapur,Apartment,4,3750,54.88,0.01,1994,Furnished,12,6,31,8,6,Medium,Yes,No,Clubhouse,West,Builder,Under_Construction
Financial District,Independent House,3,790,313.23,0.4,2021,Furnished,19,4,4,4,2,Medium,Yes,No,Garden,North,Owner,Ready_to_Move
Gachibowli,Independent House,3,891,330.89,0.37,1994,Unfurnished,3,20,31,2,4,High,Yes,Yes,Clubhouse,North,Broker,Ready_to_Move
Hitech City,Villa,1,2764,271.62,0.1,2002,Unfurnished,17,3,23,10,10,High,Yes,Yes,"Pool, Garden",South,Broker,Under_Construction
Hitech City,Independent House,1,719,239.66,0.33,2005,Unfurnished,24,14,20,10,4,Low,No,No,"Garden, Pool, Gym, Clubhouse, Playground",North,Builder,Ready_to_Move
Kokapet,Apartment,1,4716,58.34,0.01,2009,Semi-furnished,0,22,16,3,5,Medium,Yes,No,"Pool, Playground, Gym",South,Broker,Under_Construction
Narsingi,Villa,4,2053,59.54,0.03,2021,Semi-furnished,7,11,4,6,7,High,No,No,"Pool, Clubhouse",East,Builder,Under_Construction
Financial District,Independent House,5,3522,374.5,0.11,1996,Unfurnished,29,2,29,3,8,High,Yes,Yes,"Playground, Clubhouse",North,Broker,Ready_to_Move
Begumpet,Independent House,2,2792,158.67,0.06,2001,Semi-furnished,17,25,24,1,1,Medium,Yes,Yes,"Clubhouse, Pool, Gym, Playground, Garden",West,Broker,Under_Construction
Somajiguda,Villa,2,2994,193.99,0.06,2013,Furnished,4,13,12,9,10,Low,Yes,No,"Garden, Gym, Pool, Clubhouse, Playground",East,Owner,Ready_to_Move
Raidurg,Apartment,5,1681,169.76,0.1,2000,Semi-furnished,12,25,25,10,1,Low,No,Yes,Clubhouse,East,Broker,Under_Construction
Kokapet,Villa,3,3273,316.66,0.1,1998,Semi-furnished,8,17,27,8,2,High,No,No,"Playground, Clubhouse, Pool, Gym, Garden",South,Broker,Ready_to_Move
Nanakramguda,Apartment,5,4865,261.89,0.05,2010,Unfurnished,11,26,15,6,2,Medium,Yes,No,Playground,North,Builder,Under_Construction
Jubilee Hills,Apartment,5,2850,330.06,0.12,1997,Unfurnished,10,14,28,10,10,Low,Yes,Yes,"Clubhouse, Playground",East,Owner,Ready_to_Move
Hitech City,Villa,3,4219,61.4,0.01,2022,Furnished,21,6,3,1,1,High,No,No,"Clubhouse, Garden, Pool, Gym",East,Broker,Under_Construction
Khanapur,Independent House,1,3564,309.84,0.09,2022,Unfurnished,1,28,3,6,9,Medium,Yes,Yes,"Clubhouse, Garden, Playground, Gym",North,Owner,Ready_to_Move
Banjara Hills,Independent House,2,1014,384.13,0.38,2021,Furnished,18,28,4,8,3,Low,No,Yes,Clubhouse,West,Broker,Under_Construction
Hitech City,Apartment,1,2210,149.65,0.07,2016,Unfurnished,15,24,9,5,1,Medium,Yes,No,Gym,West,Broker,Ready_to_Move
Hitech City,Villa,3,4039,106.14,0.03,2016,Semi-furnished,19,17,9,6,3,High,No,No,"Garden, Pool, Clubhouse, Gym",East,Broker,Under_Construction
Somajiguda,Villa,1,666,167.86,0.25,1990,Semi-furnished,11,7,35,8,4,High,No,No,"Garden, Gym, Pool, Playground",South,Owner,Ready_to_Move
Film Nagar,Independent House,1,1667,175.58,0.11,1997,Furnished,6,6,28,6,4,High,No,Yes,"Pool, Garden, Clubhouse, Playground, Gym",East,Builder,Ready_to_Move
Nanakramguda,Apartment,2,4169,436.13,0.1,1996,Semi-furnished,23,13,29,10,10,High,No,Yes,"Gym, Garden, Pool, Clubhouse",West,Builder,Under_Construction
Film Nagar,Apartment,3,4347,217.34,0.05,2010,Unfurnished,15,21,15,2,9,Medium,No,No,"Pool, Clubhouse, Garden, Gym",North,Broker,Under_Construction
Kokapet,Apartment,2,2750,274.31,0.1,2013,Furnished,26,6,12,9,9,Low,No,No,Clubhouse,North,Owner,Ready_to_Move
Hitech City,Apartment,4,1631,476.44,0.29,2006,Unfurnished,2,2,19,2,5,High,Yes,Yes,"Garden, Clubhouse, Playground, Pool, Gym",West,Owner,Ready_to_Move
Banjara Hills,Villa,4,3161,406.73,0.13,2021,Furnished,18,3,4,1,10,High,No,No,"Playground, Gym",South,Owner,Under_Construction
Begumpet,Independent House,3,1560,26.74,0.02,2000,Unfurnished,7,20,25,6,4,Low,Yes,No,"Garden, Gym, Pool, Clubhouse",East,Builder,Ready_to_Move
Raidurg,Villa,5,1057,28.81,0.03,1998,Unfurnished,24,11,27,5,8,Medium,Yes,No,"Clubhouse, Garden",South,Broker,Under_Construction
Kokapet,Independent House,4,4039,344.81,0.09,2017,Semi-furnished,8,1,8,1,10,High,Yes,No,"Playground, Clubhouse, Garden",West,Owner,Under_Construction
Khanapur,Apartment,3,3954,101.1,0.03,1996,Semi-furnished,14,11,29,5,8,High,Yes,No,"Pool, Clubhouse, Garden, Playground, Gym",South,Owner,Ready_to_Move
Hitech City,Villa,5,771,64.75,0.08,2016,Unfurnished,14,20,9,6,5,High,Yes,No,"Garden, Pool, Clubhouse",North,Broker,Under_Construction
Kavuri Hills,Apartment,5,1116,60.85,0.05,2013,Unfurnished,10,29,12,5,4,High,Yes,No,"Playground, Gym, Pool, Clubhouse",West,Owner,Ready_to_Move
Somajiguda,Villa,4,3118,45.44,0.01,2012,Unfurnished,13,30,13,5,8,Low,Yes,No,Garden,East,Builder,Under_Construction
Film Nagar,Independent House,1,3677,241.87,0.07,1998,Furnished,3,27,27,8,2,Low,No,Yes,Pool,North,Broker,Ready_to_Move
Kokapet,Apartment,5,891,172.32,0.19,2005,Furnished,23,13,20,9,1,High,No,Yes,Garden,East,Owner,Ready_to_Move
Banjara Hills,Villa,4,2908,111.95,0.04,2013,Unfurnished,28,11,12,2,7,Medium,No,Yes,Garden,East,Owner,Ready_to_Move
Somajiguda,Villa,4,2684,212.91,0.08,2003,Semi-furnished,5,26,22,6,9,Low,Yes,No,"Garden, Pool, Gym, Playground, Clubhouse",North,Owner,Ready_to_Move
Kokapet,Apartment,1,2382,462.45,0.19,2021,Furnished,29,1,4,3,10,Low,No,Yes,"Playground, Gym, Clubhouse",North,Owner,Ready_to_Move
Kokapet,Independent House,3,1388,45.3,0.03,2023,Semi-furnished,7,26,2,9,6,High,No,Yes,"Garden, Clubhouse",North,Owner,Ready_to_Move
Kavuri Hills,Apartment,5,1068,126.53,0.12,1999,Semi-furnished,30,22,26,1,1,Low,Yes,Yes,"Playground, Pool, Clubhouse",North,Broker,Ready_to_Move
Somajiguda,Independent House,5,3299,451.25,0.14,2009,Furnished,27,18,16,9,6,Medium,No,No,"Clubhouse, Playground",West,Owner,Under_Construction
Nanakramguda,Villa,1,2489,433.73,0.17,2016,Semi-furnished,17,14,9,6,9,Medium,Yes,Yes,"Gym, Playground",South,Broker,Under_Construction
Madhapur,Villa,4,4640,458.41,0.1,2017,Furnished,22,3,8,2,1,Low,Yes,Yes,"Gym, Pool, Garden, Playground",East,Owner,Under_Construction
Begumpet,Apartment,5,2360,165.48,0.07,2018,Semi-furnished,19,26,7,3,1,High,Yes,Yes,"Garden, Playground",North,Broker,Ready_to_Move
Somajiguda,Independent House,4,1707,324.74,0.19,2009,Unfurnished,12,15,16,2,6,High,Yes,Yes,"Playground, Clubhouse, Gym, Garden, Pool",South,Builder,Ready_to_Move
Nanakramguda,Independent House,4,2229,404.75,0.18,2009,Semi-furnished,25,21,16,1,2,Low,No,No,Playground,North,Builder,Under_Construction
Gachibowli,Independent House,1,4921,262.7,0.05,1991,Semi-furnished,20,13,34,9,5,Medium,No,Yes,"Playground, Gym, Pool, Clubhouse, Garden",North,Broker,Ready_to_Move
Jubilee Hills,Independent House,1,4345,107.24,0.02,2013,Furnished,22,21,12,9,7,Medium,No,Yes,Garden,West,Builder,Under_Construction
Kavuri Hills,Independent House,5,3420,216.06,0.06,2013,Furnished,0,16,12,6,2,Low,No,No,Gym,South,Owner,Ready_to_Move
Madhapur,Independent House,1,1762,15.47,0.01,2002,Unfurnished,3,29,23,10,1,High,Yes,Yes,"Garden, Playground, Clubhouse, Gym, Pool",South,Broker,Under_Construction
Film Nagar,Villa,2,1662,334.74,0.2,2010,Semi-furnished,15,9,15,8,6,Low,No,No,Playground,South,Broker,Ready_to_Move
Narsingi,Independent House,2,684,161.55,0.24,2006,Unfurnished,20,13,19,5,9,Medium,Yes,No,"Pool, Gym, Clubhouse, Garden",South,Owner,Under_Construction
Kavuri Hills,Independent House,5,2957,350.28,0.12,2006,Unfurnished,17,25,19,8,1,High,No,No,"Gym, Garden",South,Owner,Ready_to_Move
Khanapur,Apartment,2,1707,131.9,0.08,2001,Furnished,13,8,24,3,2,Low,Yes,Yes,Playground,West,Owner,Under_Construction
Gachibowli,Independent House,1,1959,224.94,0.11,2011,Furnished,17,1,14,9,2,Medium,Yes,No,"Pool, Garden",West,Broker,Ready_to_Move
Banjara Hills,Independent House,3,1532,93.22,0.06,2009,Semi-furnished,20,21,16,3,5,High,Yes,No,"Playground, Clubhouse, Gym, Garden, Pool",South,Broker,Ready_to_Move
Narsingi,Independent House,1,2680,258.64,0.1,2011,Unfurnished,27,28,14,6,8,Low,No,No,"Garden, Pool, Playground",West,Broker,Under_Construction
Gachibowli,Independent House,3,3640,226.78,0.06,2020,Semi-furnished,24,19,5,7,6,Low,No,Yes,"Clubhouse, Pool, Playground, Garden, Gym",East,Owner,Ready_to_Move
Nanakramguda,Apartment,4,3709,244.34,0.07,2007,Semi-furnished,23,22,18,1,3,High,No,Yes,"Clubhouse, Pool, Garden, Gym, Playground",North,Owner,Ready_to_Move
Kokapet,Apartment,1,2552,289.98,0.11,2002,Furnished,25,2,23,6,4,High,Yes,Yes,"Pool, Clubhouse, Playground",East,Owner,Under_Construction
Kokapet,Independent House,3,3670,218.61,0.06,2007,Unfurnished,16,12,18,5,2,Medium,Yes,Yes,"Gym, Garden, Pool, Playground",West,Builder,Under_Construction
Financial District,Independent House,2,4023,217.8,0.05,2009,Furnished,29,30,16,4,3,Low,No,No,"Gym, Garden",South,Broker,Under_Construction
Begumpet,Apartment,3,3970,240.4,0.06,1991,Semi-furnished,17,6,34,8,4,Low,No,No,"Pool, Gym",South,Broker,Under_Construction
Banjara Hills,Villa,1,3855,138.7,0.04,2005,Semi-furnished,8,16,20,8,6,High,No,Yes,"Clubhouse, Gym",South,Broker,Under_Construction
Madhapur,Apartment,4,4474,159.09,0.04,2007,Semi-furnished,29,20,18,2,9,Medium,No,No,"Playground, Pool, Gym, Clubhouse, Garden",South,Builder,Ready_to_Move
Nanakramguda,Villa,1,4152,318.89,0.08,1999,Unfurnished,24,17,26,6,6,Low,Yes,No,"Gym, Playground",South,Owner,Ready_to_Move
Begumpet,Villa,4,4285,283.17,0.07,2016,Unfurnished,18,9,9,2,2,Low,Yes,Yes,Clubhouse,West,Builder,Ready_to_Move
Madhapur,Villa,2,4110,188.27,0.05,2008,Furnished,30,28,17,3,2,Medium,No,No,"Clubhouse, Garden, Pool, Gym, Playground",South,Broker,Under_Construction
Film Nagar,Villa,4,1321,154.69,0.12,2014,Furnished,7,13,11,7,2,High,Yes,Yes,"Garden, Clubhouse, Playground, Pool",South,Builder,Ready_to_Move
Film Nagar,Apartment,1,1806,273.7,0.15,2008,Semi-furnished,13,6,17,8,3,Low,Yes,No,"Pool, Gym, Garden, Clubhouse, Playground",East,Broker,Under_Construction
Khanapur,Independent House,1,2063,405.8,0.2,2011,Furnished,25,26,14,2,8,High,Yes,Yes,"Pool, Playground, Garden, Gym",East,Owner,Ready_to_Move
Financial District,Apartment,3,2282,72.38,0.03,2012,Furnished,27,23,13,6,2,Medium,Yes,Yes,"Playground, Gym, Clubhouse, Garden",South,Owner,Under_Construction
Gachibowli,Villa,4,4262,474.51,0.11,1998,Semi-furnished,8,13,27,1,9,High,No,Yes,"Garden, Gym",North,Builder,Ready_to_Move
Kavuri Hills,Villa,3,4417,44.54,0.01,1996,Unfurnished,15,23,29,4,8,Medium,No,No,Clubhouse,South,Broker,Under_Construction
Madhapur,Independent House,4,3589,184.17,0.05,1992,Semi-furnished,29,27,33,6,4,Medium,No,Yes,"Pool, Gym, Garden, Clubhouse",East,Broker,Ready_to_Move
Nanakramguda,Apartment,5,1562,432.47,0.28,2014,Unfurnished,6,2,11,6,3,High,Yes,Yes,"Pool, Garden, Playground",South,Owner,Under_Construction
Kavuri Hills,Independent House,4,3625,405.85,0.11,1997,Semi-furnished,19,5,28,10,9,Medium,Yes,Yes,"Pool, Garden",East,Broker,Ready_to_Move
Banjara Hills,Apartment,4,4152,221.02,0.05,2009,Unfurnished,29,1,16,9,6,Low,Yes,No,"Clubhouse, Garden",North,Broker,Under_Construction
Jubilee Hills,Independent House,4,1050,330.0,0.31,2004,Unfurnished,13,26,21,7,1,Low,No,Yes,Playground,East,Builder,Under_Construction
Gachibowli,Apartment,3,4011,405.59,0.1,2020,Furnished,27,5,5,5,4,Low,Yes,No,Clubhouse,South,Broker,Under_Construction
Hitech City,Apartment,3,608,312.72,0.51,1993,Semi-furnished,0,13,32,3,1,High,No,Yes,"Gym, Playground, Garden, Pool, Clubhouse",West,Broker,Under_Construction
Kavuri Hills,Apartment,3,4362,15.17,0.0,2001,Unfurnished,30,28,24,3,1,Medium,No,No,"Playground, Garden, Gym, Clubhouse",West,Builder,Under_Construction
Kavuri Hills,Villa,4,4709,216.53,0.05,2013,Semi-furnished,6,19,12,2,9,Medium,Yes,No,"Clubhouse, Gym, Garden",East,Owner,Ready_to_Move
Jubilee Hills,Villa,5,1371,220.02,0.16,1994,Unfurnished,3,28,31,9,5,Medium,No,Yes,Playground,North,Owner,Under_Construction
Hitech City,Independent House,3,3914,348.62,0.09,1997,Semi-furnished,9,14,28,1,6,Low,No,No,"Clubhouse, Gym, Playground, Garden, Pool",West,Broker,Under_Construction
Gachibowli,Independent House,2,4156,261.96,0.06,2017,Unfurnished,5,5,8,5,10,Medium,Yes,No,"Garden, Clubhouse, Gym, Playground, Pool",East,Broker,Under_Construction
Financial District,Independent House,2,4599,84.43,0.02,1992,Unfurnished,0,4,33,5,1,High,No,No,"Pool, Clubhouse",North,Broker,Under_Construction
Film Nagar,Apartment,3,3030,434.07,0.14,2017,Semi-furnished,9,23,8,10,6,Medium,Yes,No,"Pool, Clubhouse, Playground, Gym, Garden",East,Broker,Under_Construction
Somajiguda,Independent House,2,4749,188.4,0.04,1996,Furnished,2,29,29,4,8,Medium,Yes,No,"Pool, Garden, Gym, Playground",West,Builder,Under_Construction
Raidurg,Apartment,1,2796,113.84,0.04,1995,Furnished,21,18,30,1,2,High,No,No,"Playground, Garden, Gym",South,Broker,Under_Construction
Gachibowli,Independent House,4,4218,49.25,0.01,2002,Semi-furnished,12,2,23,5,9,Medium,No,No,"Clubhouse, Playground",North,Builder,Ready_to_Move
Gachibowli,Apartment,3,1664,447.08,0.27,2009,Semi-furnished,22,10,16,9,4,High,Yes,No,"Pool, Garden, Gym, Playground",West,Owner,Ready_to_Move
Madhapur,Apartment,4,4254,134.44,0.03,2023,Unfurnished,15,10,2,9,4,Medium,Yes,No,"Playground, Garden, Clubhouse",South,Builder,Ready_to_Move
Banjara Hills,Independent House,5,3150,114.77,0.04,1995,Unfurnished,19,20,30,6,3,High,Yes,No,"Gym, Clubhouse, Garden, Pool, Playground",South,Broker,Ready_to_Move
Somajiguda,Villa,4,1747,186.29,0.11,1994,Semi-furnished,2,10,31,10,4,High,Yes,No,"Playground, Gym",West,Builder,Ready_to_Move
Jubilee Hills,Apartment,3,3892,451.29,0.12,2017,Semi-furnished,23,24,8,10,2,High,No,No,"Pool, Garden",North,Builder,Ready_to_Move
Jubilee Hills,Villa,4,3042,350.0,0.12,1997,Furnished,19,21,28,10,5,High,No,No,Clubhouse,North,Owner,Under_Construction
Kokapet,Villa,4,2222,105.53,0.05,2018,Semi-furnished,14,26,7,2,2,High,Yes,No,"Garden, Pool, Playground",West,Broker,Under_Construction
Kokapet,Villa,2,3487,187.32,0.05,2023,Furnished,5,19,2,1,1,Medium,Yes,Yes,Playground,South,Broker,Under_Construction
Gachibowli,Independent House,2,3459,403.79,0.12,2009,Semi-furnished,16,3,16,9,4,High,Yes,Yes,"Pool, Clubhouse, Playground, Garden",North,Broker,Ready_to_Move
Jubilee Hills,Apartment,4,1427,167.0,0.12,2007,Furnished,23,19,18,2,6,Medium,Yes,No,"Gym, Playground, Garden",West,Owner,Under_Construction
Narsingi,Villa,4,4797,52.73,0.01,2003,Semi-furnished,28,28,22,10,8,High,No,No,"Clubhouse, Pool, Gym, Garden",North,Owner,Under_Construction
Hitech City,Villa,1,1454,187.88,0.13,1997,Unfurnished,27,10,28,8,2,Low,No,Yes,"Garden, Pool, Playground, Gym",West,Broker,Under_Construction
Narsingi,Villa,5,2592,416.53,0.16,1999,Unfurnished,29,19,26,4,6,Medium,No,No,"Gym, Clubhouse, Pool, Garden",East,Builder,Under_Construction
Kokapet,Apartment,1,1381,244.86,0.18,2000,Semi-furnished,30,23,25,9,10,Medium,No,Yes,"Clubhouse, Playground, Pool, Garden, Gym",East,Builder,Ready_to_Move
Somajiguda,Villa,5,4558,82.41,0.02,2007,Furnished,30,19,18,2,4,Medium,Yes,Yes,"Garden, Clubhouse, Pool",South,Builder,Ready_to_Move
Somajiguda,Apartment,2,1028,457.29,0.44,2023,Unfurnished,23,22,2,1,3,Medium,No,No,Gym,East,Broker,Under_Construction
Madhapur,Independent House,5,3522,248.89,0.07,1994,Furnished,1,1,31,1,10,Low,No,No,"Playground, Gym, Pool",North,Broker,Ready_to_Move
Gachibowli,Villa,1,797,414.97,0.52,2019,Furnished,23,12,6,5,1,High,No,No,Clubhouse,West,Broker,Under_Construction
